SchoolName,Address,Phone
Autauga Academy,"497 Golson Rd, Prattville, AL 36067",(334) 365-4343
Camellia Baptist Wem,"201 Woodvale Rd, Prattville, AL 36067",(334) 365-5693
East Memorial Christian Academy,"1320 Old Ridge Road, Prattville, AL 36066",(334) 358-4085
First Baptist Preschool And Kindergarten,"138 S Washington St, Prattville, AL 36067",(334) 361-9481
First Presbyterian Kindergarten,"211 S Chestnut St, Prattville, AL 36067",(334) 491-3411
Fountain City Baptist Home School,"237 S Northington St, Prattville, AL 36067",(334) 365-0502
Prattville Christian Academy,"322 Old Farm Lane N., Prattville, AL 36066",(334) 285-0077
Prattville KinderCare,"701 Sheila Blvd, Prattville, AL 36066",(334) 365-0470
Alabama Gulf Coast Christian Academy,"18930 County Road 28, Foley, AL 36535",(251) 989-2333
Alpha & Omega Christian School,"6389 Spanish Fort Blv, Daphne, AL 36527",(251) 621-1126
Bayshore Christian School,"316 Presbyterian Dr, Fairhope, AL 36532",(251) 929-0011
Bayside Academy,"303 Dryer Ave, Daphne, AL 36526",(251) 338-6300
Berean Baptist Christian School,"27040 Hwy 98 E, Elberta, AL 36530",(251) 986-5162
Calvary Christian Learning Center,"Po Box 10, Orange Beach, AL 36561",(251) 967-2688
Central Christian School,"17395 State Highway 104, Robertsdale, AL 36567",(251) 947-5043
Christ The King Catholic School,"1503 Main St, Daphne, AL 36526",(251) 626-1692
Eastern Shore Early Childhood,"1090 Fairhope Ave, Fairhope, AL 36532",(251) 928-3449
Faith Christian Academy,"18109 Us Highway 98, Foley, AL 36535",(251) 971-3202
Good Shepherd Lutheran School,"24933 Oak St, Elberta, AL 36530",(251) 987-1966
Grace Christian Academy,"19470 County Road, Gulf Shores, AL 36542",(251) 968-4352
Marietta Johnson School Of Organic Education,"8 Marietta Drive, Fairhope, AL 36532",(251) 928-9347
Open Door Christian School,"20774 County Road 12 S, Foley, AL 36535",(251) 943-1693
St Michael Catholic High School,"11732 Dick Higbee Rd, Fairhope, AL 36532",(251) 459-0210
St. Patrick Catholic School,"23070 Hwy 59 North, Robertsdale, AL 36567",(251) 947-7395
South Baldwin Christian Academy,"6900 Hwy 59, Gulf Shores, AL 36542",(251) 968-1230
Victory Christian Academy,"20511 County Road 12 S, Foley, AL 36535",(251) 943-7684
